lyapunov,spectral_entropy,spectral_flatness,mode_count,final_C,final_S,condition,seed,total_reward,reward_mean,reward_std,episode_length,final_branching,final_depth,final_noise
-inf,0.0,0.0,1,0.2175766202373636,6.670551792437933,frozen,19,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.052304808982662404,6.670551792437934,frozen,20,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.4490283851518646,6.670551792437934,frozen,21,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.02704045376961058,6.670551792437934,frozen,22,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.010136882750768952,6.670551792437934,frozen,23,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.06575739511928372,6.670551792437934,frozen,24,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.050019998967171395,6.670551792437934,frozen,25,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.008952846785973093,6.670551792437934,frozen,26,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.05309296795375345,6.670551792437934,frozen,27,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.17569105918713568,6.670551792437934,frozen,28,0.0,0.0,0.0,50,3,3,0.05
-inf,0.0,0.0,1,0.04827365549471066,6.670551792437934,frozen,29,0.0,0.0,0.0,50,3,3,0.05
-3.5005602823519117,2.7660479358581034,0.22627624953564235,2,0.0,0.0,random_params,0,-25.047922050814186,-0.5009584410162836,0.2156065408383542,50,5,5,0.1
-3.9309557365400982,2.7923530328927755,0.22298577218345586,2,0.018489032472703178,7.945498463088436,random_params,1,-22.128998721530916,-0.4425799744306181,0.24425147277512294,50,5,2,0.007875
-3.410297212327734,2.8615771055698054,0.23440924778718325,2,0.06270010925921644,5.040429791986062,random_params,2,-21.960000898098667,-0.43920001796197317,0.2504033996641312,50,2,4,0.09380669484374995
-3.37686913138624,2.7178299329310827,0.19697081491218837,2,0.0,0.0,random_params,3,-24.128752598904544,-0.48257505197809075,0.21176305524166547,50,5,2,0.01164684863712227
-3.3439724541339904,2.8605115782122765,0.2647460775451651,2,0.0,0.0,random_params,4,-23.303629884975,-0.4660725976994998,0.23098930621903616,50,5,3,0.06999999999999999
-3.315854667859085,2.8094762972241103,0.212292548109895,2,0.0,0.0,random_params,5,-23.379092144826828,-0.4675818428965365,0.2316870607447665,50,4,5,0.009533539653749994
-3.4134990085591848,2.7038158143529603,0.18662741544718908,2,0.07817212604918641,7.951848030869208,random_params,6,-22.990381259566103,-0.4598076251913221,0.2398612365886043,50,3,4,0.022522987431984356
-3.739959046205669,2.9464457324716458,0.29271817599356115,2,0.0,0.0,random_params,7,-25.41431807849382,-0.5082863615698763,0.21203312487970202,50,4,4,0.030643520315624985
-3.202305069077732,2.768750893741397,0.20634898807251598,2,0.015942052692873052,6.525798681760159,random_params,8,-22.461452931064056,-0.4492290586212811,0.2566658661511068,50,4,3,0.008560433748284866
-3.702626262942359,2.8128367076024796,0.25120770317757213,2,0.0,0.0,random_params,9,-19.316353369220757,-0.38632706738441513,0.23486919015490063,50,4,4,0.017647349999999996
-3.0536737596351244,2.8672748518400133,0.2649785787708273,2,0.0,0.0,random_params,10,-22.188902274928214,-0.44377804549856426,0.23725812186807554,50,3,4,0.02607317332595089
-4.154132783320583,2.81630425148171,0.241273206451939,2,0.0,0.0,random_params,11,-19.709230072951243,-0.39418460145902484,0.26455894616238645,50,4,4,0.016621373742626948
-3.1371224351181923,2.776165468742914,0.24455198691813407,2,0.0,0.0,random_params,12,-20.03120997449159,-0.40062419948983174,0.26929514683050304,50,4,5,0.0735
