lyapunov,spectral_entropy,spectral_flatness,mode_count,final_C,final_S,mean_C,mean_S,condition,seed,total_reward,reward_mean,reward_std,episode_length
-0.4075058975881337,3.001870991294733,0.22443572634936362,2,0.7218649862356984,6.670551792437933,0.25277571971924717,2.6115151990507943,trained_order,26,252.77571971924718,2.527757197192472,3.2173183062094317,100
-1.0023656341888763,3.196748440792524,0.2412603746908635,2,0.6451433474734184,8.992479887325295,0.28376351513087616,7.036143729697556,trained_order,27,277.2203322234234,2.7722033222342333,2.4647650263406304,100
-0.4093818800486631,3.14393165913176,0.26300334703441824,2,0.0,0.0,0.27850372651629945,3.030892413679902,trained_order,28,277.9240075675739,2.779240075675739,3.2536485660665133,100
-0.754017662210309,3.430721818146408,0.31035862435861367,2,0.5336853602930554,8.25551429315909,0.2995158424496874,5.498776141596384,trained_order,29,292.92818584121545,2.929281858412155,2.7918991945187415,100
-1.7480549905396379,1.3775890767851011,0.03954266633651405,6,0.3868380984055862,11.638418901976557,0.436340015483911,11.274691405638578,trained_life,0,329.7581069226374,3.2975810692263754,0.6753878618660601,100
-1.4611626339110617,0.689800688191124,0.03157898859356357,5,0.3476804797311878,11.638418901976557,0.49442546968410106,11.274691405638578,trained_life,1,359.95964889843606,3.599596488984362,0.6309290100047028,100
-0.9352496910515954,3.172379446272882,0.2553732713287161,2,0.07979718616467456,11.638418901976559,0.3169472359725285,6.976711031005447,trained_life,2,221.56910404893716,2.2156910404893715,1.5497744296897256,100
-0.8857987941677119,3.484903692124119,0.3296738969334302,2,0.0,0.0,0.35896186208968595,5.781266989855328,trained_life,3,235.9728238171058,2.359728238171057,1.7684677601465888,100
-2.290401542495802,2.7682581186099338,0.3105094690923494,2,0.15709496907003642,11.638418901976559,0.20638678819145173,10.719797307368742,trained_life,4,207.5893117727335,2.075893117727336,0.657912723628323,100
-0.4894366925084617,3.2405945888841803,0.27307088708414823,2,0.5877539386216197,6.670551792437934,0.30923677256448284,4.4653644221818976,trained_life,5,198.1462598231555,1.9814625982315552,1.8210071629829923,100
-0.9743620959370527,3.216147602953621,0.28741273161498304,2,0.31781601133379306,7.670551792437934,0.3799992433649115,6.799638091528366,trained_life,6,253.49873776547355,2.5349873776547356,1.5838410349022154,100
-1.8811180961714387,3.3527672892264135,0.27992429916988476,2,0.21732484545991163,11.638418901976559,0.2914248564430546,9.586392434664445,trained_life,7,237.3569010340389,2.373569010340388,1.0397228333296784,100
-1.1267479484809642,3.410789857440296,0.2718005240302449,2,0.4713328344627762,8.25551429315909,0.3979260791825783,7.187052728201678,trained_life,8,266.2360728531635,2.6623607285316355,1.5641889705757483,100
-1.8834064965051611,2.6704193649306363,0.17539294917703532,2,0.5485865086922971,11.638418901976559,0.4028630271393261,10.79555025104115,trained_life,9,307.5499183627938,3.0754991836279375,0.7898099600478338,100
-3.090375670477319,3.1119699075776883,0.19993126679524517,2,0.2142880473238659,11.638418901976559,0.206828435139281,11.06894987442804,trained_life,10,214.10371631392087,2.141037163139209,0.43223862239420857,100
-0.6891930440483491,2.9201376916785153,0.1412579597484921,2,0.3651704338430114,8.25551429315909,0.3411748620457111,5.757276000414342,trained_life,11,213.83028019091492,2.138302801909149,1.7631410490530952,100
-1.827241081078118,3.279904421208387,0.2436567179706395,2,0.4329624130178224,11.638418901976559,0.469140328912199,8.989153086011015,trained_life,12,324.4616953162096,3.244616953162096,1.311321800293294,100
-2.4019271662034267,0.8835955802620703,0.021669009229508682,6,0.08892443681957503,11.638418901976559,0.15007937218134876,11.274691405638578,trained_life,13,165.6992312807237,1.656992312807237,0.7591020423793509,100
-2.0745340922130993,2.7019574582722994,0.13283268821406127,2,0.5646381721141209,11.638418901976559,0.569985742324939,11.035120828339863,trained_life,14,395.3440794458682,3.953440794458682,0.6568605744842543,100
-0.8589342943708795,3.4691839807751093,0.3483917866220866,2,0.0,0.0,0.41318991523934523,6.5008446319023765,trained_life,15,267.00385197693424,2.6700385197693417,1.7453571369992071,100
-1.7817589987841522,3.3706275787658835,0.26759916997315963,2,0.22130320935266856,7.670551792437934,0.36761467388341473,9.290185440725251,trained_life,16,271.996994241786,2.7199699424178605,1.2637668094685128,100
-0.4516113516133246,3.144559823648856,0.2440125004779064,2,0.7167355999589302,6.670551792437934,0.28294913170817926,3.361112985406266,trained_life,17,175.08569570815231,1.7508569570815227,1.902507972355718,100
-1.9646220453610521,2.539329139894116,0.14272050762989064,2,0.55621749267235,11.638418901976559,0.41927369492995203,11.274691405638578,trained_life,18,321.19201278708783,3.2119201278708776,0.555619021955892,100
-1.3615236998370535,0.46097397306977567,0.019305114305891474,6,0.25548427601738044,11.638418901976559,0.41146451453263944,11.274691405638578,trained_life,19,318.4791713227054,3.184791713227054,0.6775733247432828,100
-0.39998097175889114,2.9371092809253088,0.21592823416439255,2,0.6849010404801495,6.670551792437934,0.2993710840288615,3.887107981013094,trained_life,20,185.57935833400708,1.8557935833400703,1.947019767122197,100
-1.6411791605143975,2.940750293308647,0.16502532565070266,2,0.5184025853758633,11.638418901976559,0.480904817522173,10.744901049185438,trained_life,21,347.90141925294097,3.479014192529409,0.762081311917568,100
-1.9122751349431981,2.6345859833871947,0.20158999303854022,4,0.5543644138998497,11.638418901976559,0.5600817938930591,10.978982767097964,trained_life,22,388.6155389980266,3.8861553899802654,0.7754774438076688,100
-0.984011309419926,3.327598465098741,0.28151800776305974,2,0.736345330924008,6.670551792437934,0.34383805102170056,6.247643419778431,trained_life,23,223.69343625544488,2.236934362554449,1.7890061247082505,100
-2.1782382663148105,2.5835048958304028,0.16282110684883075,5,0.14428444634984952,11.638418901976559,0.24650481011551847,11.274691405638578,trained_life,24,226.90849422338738,2.2690849422338735,0.7410750330452979,100
-0.7752142720844071,3.257717116920182,0.24045249590865142,2,0.22818872306877735,7.670551792437934,0.32618583436561255,4.855739227459535,trained_life,25,210.56590084552397,2.10565900845524,1.755341334010337,100
-2.2186602205724815,1.9379823266831013,0.08978063375400756,6,0.3273713377639056,11.63841890197656,0.302083268815519,11.274691405638578,trained_life,26,260.5232819729302,2.6052328197293027,0.6710538800962942,100
-2.3891043259241647,3.4275510103109936,0.29302026212698845,2,0.17817051585686808,11.577442388046453,0.2801346876327054,9.88066976294321,trained_life,27,238.87404144578485,2.388740414457848,0.9347178801550357,100
-0.7764811111611079,3.153243748880232,0.2652519677454988,2,0.02257536530656383,7.670551792437934,0.2954943125648103,5.374928168495344,trained_life,28,193.11367008948807,1.931136700894881,1.731642398159479,100
